customer_id,age,gender,marital_status,job,monthly_income,housing_status,district,city,no_of_previous_loans,no_of_available_loans,total_on_time_payments,total_late_payments,risk
19512500002,30,Male,Married,Laborer,101999.11,Rent,Matara,Akuressa,2,3,13,9,medium
19752420011,25,Male,Married,Software Engineer,27574.62,Rent,Matara,Akuressa,5,0,12,0,high
19721590028,40,Female,Single,Doctor,14452.93,Own,Nuwara Eliya,Talawakele,1,1,12,10,medium
19822880034,60,Male,Single,Taxi Driver,241792.86,Other,Nuwara Eliya,Talawakele,0,2,4,1,medium
20001150046,58,Female,Divorced,Accountant,30189.54,Rent,Kandy,Kandy,3,1,20,0,low
20000860057,51,Male,Single,Laborer,293787.76,Family,Kandy,Kandy,2,1,18,5,low
20040150063,42,Male,Single,Mason,275774.35,Rent,Gampaha,Ja-Ela,5,2,8,4,medium
19900570076,38,Female,Married,Painter,290169.81,Other,Galle,Hikkaduwa,0,1,4,0,high
19733120089,21,Male,Single,Tailor,499190.21,Family,Matale,Galewela,0,1,14,2,low
19931840094,44,Male,Divorced,Mechanic,173418.56,Own,Matara,Weligama,4,3,13,4,medium
20053020101,41,Female,Married,Fisherman,282169.83,Rent,Gampaha,Negombo,2,1,6,3,high
19570430118,47,Female,Single,Electrician,91179.44,Own,Kandy,Kandy,5,0,6,3,low
20001700124,22,Female,Married,Chef,35558.68,Own,Matara,Akuressa,5,3,11,3,high
19582050130,55,Female,Divorced,Engineer,26115.17,Family,Kandy,Kandy,3,3,6,10,medium
19502690149,55,Male,Divorced,Doctor,295138.59,Other,Matale,Matale,4,3,12,8,medium
19881560154,45,Female,Divorced,Engineer,386287.56,Other,Matale,Galewela,3,1,4,3,medium
19563150167,33,Male,Single,Nurse,371061.26,Family,Matale,Galewela,4,2,16,2,low
20003000170,60,Male,Married,Farmer,464866.54,Rent,Matara,Weligama,3,1,0,4,high
19753410180,60,Female,Divorced,Doctor,57179.79,Other,Kandy,Gampola,1,3,13,9,medium
19992620197,42,Female,Married,Engineer,376627.1,Other,Hambantota,Tissamaharama,4,0,18,6,low
19911390207,47,Male,Divorced,Mechanic,385383.16,Family,Hambantota,Tangalle,5,1,4,2,low
19921810217,24,Female,Married,Doctor,17040.96,Rent,Gampaha,Ja-Ela,3,2,0,9,high
19682660222,34,Female,Divorced,Tailor,196852.53,Family,Colombo,Moratuwa,1,3,2,4,medium
19502870230,23,Female,Married,Receptionist,167800.19,Other,Colombo,Moratuwa,2,1,14,10,high
19941470245,32,Male,Married,Clerk,340935.59,Other,Gampaha,Ja-Ela,5,2,2,8,high
19981980251,61,Male,Single,Plumber,451741.7,Other,Gampaha,Negombo,1,3,12,2,medium
19711400267,54,Male,Single,Taxi Driver,86367.09,Other,Matara,Akuressa,2,3,10,8,medium
20051450278,55,Female,Divorced,Tailor,393782.44,Family,Colombo,Moratuwa,5,2,16,10,medium
19842300285,23,Female,Single,Farmer,398215.9,Rent,Galle,Hikkaduwa,5,1,8,10,medium
19880790294,31,Female,Single,Mechanic,485426.7,Rent,Galle,Hikkaduwa,3,2,15,3,medium
19623190301,37,Male,Divorced,Painter,373030.95,Rent,Gampaha,Negombo,5,0,1,1,low
19523490314,60,Female,Married,Electrician,484004.01,Own,Galle,Galle,5,2,19,3,low
19773540327,44,Female,Single,Painter,295740.42,Own,Gampaha,Ja-Ela,1,3,7,10,medium
19652650330,45,Female,Single,Mechanic,403027.53,Family,Nuwara Eliya,Talawakele,2,1,19,6,medium
19742870345,46,Male,Divorced,Shop Assistant,117169.32,Rent,Matara,Weligama,2,3,5,2,high
19681200357,47,Male,Divorced,Accountant,163039.26,Other,Hambantota,Tangalle,1,1,18,0,low
19953350369,42,Female,Divorced,Accountant,55690.75,Other,Matale,Dambulla,5,2,11,6,medium
19612950372,55,Female,Divorced,Doctor,63165.18,Own,Colombo,Moratuwa,4,3,18,0,low
19573110382,24,Female,Divorced,Farmer,484036.91,Own,Kalutara,Kalutara,1,0,3,6,medium
19823580398,35,Female,Single,Chef,123036.99,Other,Nuwara Eliya,Hatton,2,0,9,6,medium
20023480409,32,Female,Married,Shop Assistant,238498.51,Other,Nuwara Eliya,Talawakele,2,2,12,2,medium
20040580415,33,Male,Divorced,Construction Worker,272433.46,Family,Galle,Hikkaduwa,3,2,13,2,medium
19961510421,40,Female,Divorced,Painter,454180.54,Own,Kandy,Gampola,4,3,7,1,medium
19750020435,61,Female,Divorced,Cleaner,91488.05,Own,Gampaha,Ja-Ela,3,2,15,0,high
19700520444,48,Male,Single,Electrician,28775.29,Rent,Kalutara,Kalutara,4,0,4,1,low
20032390459,63,Male,Divorced,Plumber,190125.92,Other,Matara,Matara,5,0,7,10,medium
19580300465,48,Female,Single,Doctor,344189.11,Family,Hambantota,Tangalle,1,1,4,0,medium
19761510472,31,Female,Divorced,Banker,383928.68,Own,Gampaha,Kelaniya,4,3,1,5,low
19540490483,36,Female,Married,Banker,385079.46,Family,Matara,Matara,2,0,5,1,low
19513270495,36,Female,Divorced,Clerk,71500.88,Other,Kandy,Peradeniya,1,0,5,2,low
19762470503,37,Male,Divorced,Plumber,325269.25,Family,Colombo,Colombo,5,2,1,7,medium
19510470514,64,Female,Married,Receptionist,359497.71,Other,Matale,Dambulla,4,1,8,1,high
19810390520,30,Female,Divorced,Security Guard,421293.05,Rent,Kalutara,Kalutara,5,1,13,8,medium
20010700535,52,Male,Married,Tailor,272312.24,Family,Kandy,Peradeniya,5,3,17,1,low
19930600549,65,Female,Divorced,Banker,89432.04,Rent,Kalutara,Kalutara,4,2,0,1,high
19670050551,62,Male,Divorced,Construction Worker,184343.11,Other,Kalutara,Beruwala,4,2,11,8,medium
19753400569,35,Female,Divorced,Painter,277017.96,Own,Kalutara,Kalutara,1,3,8,3,medium
19553070571,59,Female,Married,Banker,276122.47,Other,Colombo,Colombo,2,3,3,6,high
19961080582,37,Female,Married,Accountant,213432.37,Family,Hambantota,Tangalle,4,3,4,1,low
19593640599,27,Female,Single,Doctor,38451.84,Rent,Matara,Akuressa,3,0,13,9,medium
19601770600,28,Male,Divorced,Civil Servant,43476.13,Own,Kandy,Kandy,3,2,3,2,high
19790590616,44,Female,Married,Cleaner,96825.37,Family,Matale,Galewela,0,2,18,8,medium
19802680620,50,Male,Married,Tailor,87259.8,Family,Kalutara,Beruwala,3,2,16,1,low
20052870639,51,Male,Divorced,Mason,179560.86,Own,Galle,Galle,2,2,7,9,medium
19692480641,64,Female,Married,Banker,280225.73,Own,Colombo,Moratuwa,3,1,13,9,medium
19693190651,40,Female,Divorced,Police Officer,163187.2,Own,Kalutara,Beruwala,4,2,12,10,medium
19960020660,50,Male,Single,Fisherman,214071.04,Family,Hambantota,Tissamaharama,4,3,3,7,medium
19892590673,46,Male,Divorced,Plumber,235282.91,Other,Colombo,Moratuwa,2,3,14,8,medium
19782820689,61,Male,Married,Receptionist,45504.03,Own,Nuwara Eliya,Hatton,5,1,7,1,high
19840070695,27,Female,Married,Mason,136640.63,Family,Kalutara,Beruwala,1,1,13,9,high
19530590702,49,Female,Married,Painter,449799.8,Rent,Hambantota,Tangalle,3,3,8,6,medium
19760180712,65,Male,Single,Doctor,449195.43,Family,Matale,Galewela,1,1,5,2,low
19772260729,59,Male,Single,Taxi Driver,111569.18,Other,Nuwara Eliya,Nuwara Eliya,3,1,15,0,medium
19893170733,23,Female,Married,Accountant,125208.5,Own,Hambantota,Hambantota,5,0,1,6,high
20002400741,37,Male,Single,Doctor,13411.95,Other,Gampaha,Kelaniya,5,1,14,9,medium
19522300758,33,Female,Divorced,Nurse,195833.13,Rent,Matara,Akuressa,0,1,19,10,medium
19670810764,65,Female,Single,Taxi Driver,239342.81,Family,Colombo,Colombo,2,0,5,5,low
19830360771,65,Female,Divorced,Plumber,83626.55,Rent,Nuwara Eliya,Hatton,5,2,8,9,medium
20012490783,54,Male,Married,Receptionist,24512.4,Rent,Kandy,Gampola,2,0,17,0,low
19832020799,28,Male,Divorced,Police Officer,29916.24,Other,Nuwara Eliya,Talawakele,2,1,9,5,medium
19621210807,37,Male,Divorced,Fisherman,322001.42,Own,Colombo,Moratuwa,1,1,2,7,medium
19982930812,52,Female,Married,Businessman,288893.88,Rent,Gampaha,Negombo,2,2,11,3,medium
19640640829,37,Male,Single,Civil Servant,55303.24,Other,Gampaha,Ja-Ela,3,2,6,8,medium
19833430838,58,Female,Divorced,Clerk,34677.85,Family,Matara,Akuressa,4,0,19,3,low
19750820846,37,Male,Divorced,Engineer,155652.96,Other,Hambantota,Tangalle,2,0,18,3,low
19821430856,29,Male,Married,Driver,118667.88,Own,Kandy,Peradeniya,1,2,10,8,medium
19931030860,31,Female,Married,Banker,151454.85,Own,Colombo,Dehiwala,3,1,2,2,high
19703560871,30,Female,Divorced,Shop Assistant,429294.97,Own,Hambantota,Tissamaharama,4,3,19,8,low
19782110886,63,Male,Divorced,Businessman,338381.14,Family,Matara,Matara,5,3,5,6,medium
19811860891,38,Male,Single,Army Officer,294323.74,Other,Colombo,Dehiwala,4,2,8,6,medium
20000530904,54,Male,Divorced,Shop Assistant,190182.08,Rent,Matara,Akuressa,4,2,17,3,medium
